Name,Category,Matrix unit,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg-RE)","Vitamin A activity, RAE (µg-RE)",Retinol (µg),Beta- carotene activity (µg-BCE),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Panthotenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (?-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg)
"Dried meat (Hobel-, Bündner-, Walliser-, Tessiner- dried meat)",Sausages and cold meats/Raw sausage products,per 100g edible portion,190,3.5,1.6,1.5,0.2,84,0.4,0.4,0,0,39.3,4.1,0,52.2,3,3,3,0,0,0.1,0.24,0.42,1.57,10.52,tr.,1.2,1.1,tr.,tr.,640,1620,2610,tr.,37,330,4,tr.,6.5,14
Drinking water (average Switzerland),Non-alcoholic beverages/Drinking water,per 100ml food volume,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,0,0,0,tr.
Dulce de Leche,Sweets/Jams and sweet sandwich spreads,per 100g edible portion,299,7.3,4.4,1.7,0.3,28,52.6,52.6,0,0,5.7,0.2,0,34.2,84,81,78,34,34,0.03,0.37,0.04,0.27,0.19,5,0.55,1.3,0.1,0.23,280,69,170,210,18,160,0.1,17,0.6,1.9
Durum wheat semolina,"Cereal products, pulses and potatoes/Other cereal products",per 100g edible portion,353,1.4,0.2,0.1,0.5,0,71.4,1,70.4,3.4,12,0,0,12.1,2,1,0,9,9,0.07,0.06,0.08,0,2.16,57,0.35,0,0,0.1,150,1.2,87,17,27,100,0.9,5.1,2.2,n.d.
"Edible boletus, fresh",Vegetables/Mushrooms,per 100g edible portion,39,0.4,0.1,0,0.2,0,0.5,0.1,0,6,5.4,0,0,88.6,0,0,0,2,2,0.32,1.02,0.03,0,14.64,25,2.7,1.9,3.1,0.16,340,6,30,4.2,12,85,1,3.6,1.5,n.d.
"Edible boletus, stewed (without addition of fat and salt)",Vegetables/Mushrooms,per 100g edible portion,46,0.5,0.1,0,0.2,0,0.6,0.1,0,7.3,6.1,0,0,87.3,0,0,0,2,2,0.3,1.03,0.03,0,14.28,18.3,2.7,1.7,3.8,0.19,320,6.4,35,5,12,98,1,4.2,1.6,n.d.
"Egg liqueur, 16.5 vol%",Alcoholic beverages/Other alcoholic beverages,per 100ml food volume,313,7.7,2.2,3.2,1.1,165,30.8,30.8,0,0,4.4,0,14.7,51.5,161,160,160,8,8,0.08,0.19,0.09,0.55,0.06,44,1.16,0.3,2.2,0.59,15,5.5,19,15,4.4,55,0.8,1.1,0.5,n.d.
"Egg white, raw",Eggs,per 100g edible portion,45,0,0,0,0,0,0.4,0.4,0,0,10.8,0.5,0,87.5,0,0,0,0,0,0.02,0.42,0.04,0.33,0.04,10,0.28,0,0,0,150,190,160,5.1,11,12,0,7.5,0,12
"Egg yolk, raw",Eggs,per 100g edible portion,349,31.3,8.8,12,5,1255,0.3,0.2,0,0,16.4,0.1,0,52.7,447,447,447,1,<1,0.2,0.59,0.35,3.42,0.04,122,4.53,0,5.6,5.16,120,52,160,140,12,560,5.5,110,3.8,48
"Egg, raw",Eggs,per 100g edible portion,140,9.8,2.6,3.7,1.7,350,0.3,0.3,0,0,12.6,0.4,0,76,112,112,112,1,<1,0.1,0.29,0.09,1.31,0.05,67,2.43,tr.,2.8,1.23,150,150,180,48,12,200,1.8,39,1.2,23
"Eggplant piccata, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,138,8.3,2.3,4.2,1,67,8.9,2.3,6.6,2.7,5.6,0.2,0,74.6,48,45,41,45,45,0.05,0.09,0.08,0.32,0.56,18.8,0.57,1.1,0.5,0.66,230,96,190,73,17,93,0.6,9,0.6,n.d.
"Eggplant slices, breaded, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,136,5.8,0.7,3.6,0.9,47,14.6,2.7,11.8,3.1,4.7,0.2,0,72,20,17,14,37,37,0.06,0.07,0.08,0.17,0.63,19.4,0.51,1.1,0.4,0.62,230,62,150,23,17,60,0.6,5.7,0.4,n.d.
"Eggplant, raw",Vegetables/Fresh vegetables,per 100g edible portion,21,0.1,0,0,0.1,0,2.4,2.4,0,2.7,1.1,0,0,92.9,8,4,0,47,47,0.04,0.03,0.08,0,0.72,24.5,0.25,1.9,0,0.17,240,2.5,55,12,14,21,0.3,0.1,0.1,3.9
"Eggplant, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,21,0.1,0,0,0.1,0,2.4,2.4,0,2.7,1.1,0,0,93.5,8,4,0,45,45,0.03,0.03,0.07,0,0.62,15.8,0.23,1.5,0,0.18,210,2.3,56,12,14,21,0.3,0.1,0.1,4
"Eggplant, stewed (without addition of fat and salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,24,0.2,0,0,0.1,0,2.8,2.8,0,3.2,1.3,0,0,92.6,9,4,0,52,52,0.04,0.04,0.08,0,0.72,18.4,0.26,1.7,0,0.21,230,2.7,65,15,15,25,0.3,0.1,0.2,4.6
"Elderberry, raw",Fruit/Fresh fruit,per 100g edible portion,63,1.7,0.1,0.1,1.1,0,7.4,7.4,0,4,2.5,0,0,84,54,27,0,325,325,0.07,0.07,0.25,0,1.6,17,0.16,18,0,1,300,1,7,37,30,57,1.6,3,0.2,n.d.
"Emmentaler cheese, at least 45% fidm",Milk and dairy products/Hard cheese,per 100g edible portion,408,32.6,20.3,7.9,1.5,84,0,0,0,0,28.4,0.4,0,35,306,293,280,155,155,0.01,0.3,0.12,1.67,0.18,9.4,0.3,tr.,0.5,0.35,84,170,270,1030,31,620,0.4,20,4.6,n.d.
"Endive, raw",Vegetables/Fresh vegetables,per 100g edible portion,16,0.2,0.1,0,0.1,0,1.2,1.2,tr.,1.2,1.8,0.1,0,94.8,65,33,0,392,392,0.05,0.12,0.04,0,0.41,109,0.44,12.9,0,tr.,220,52,94,23,8.1,26,0.5,2.9,0.2,0.2
"Energy drink, with sugar",Non-alcoholic beverages/Soft drinks,per 100ml food volume,44,0,0,0,0,0,10.9,10.8,0,0,0,0.2,0,88.1,0,0,0,0,0,0,0.43,1.42,1.63,7.54,0,1.55,0,0,0,3,63,94,4,1,3,0,0,0,0.1
"Escalope (average of beef, veal, pork, poultry), breaded, fried",Meat and offal/Poultry;Meat and offal/Veal;Meat and offal/Beef;Meat and offal/Pork,per 100g edible portion,233,10.8,1.7,6.8,1.5,95,10.1,0.5,9.5,0.6,23.5,0.8,0,55.2,17,17,17,2,2,0.45,0.19,0.43,1.07,6.48,18.7,1.1,0,0.6,2.49,350,340,500,18,24,210,1.4,6.4,2.4,15
"Escalope (average of beef, veal, pork, poultry), pan fried (without addition of fat and salt)",Meat and offal,per 100g edible portion,145,3.1,1.1,1.4,0.4,78,0.1,0,0,0,29.2,0.2,0,67.7,5,5,4,3,3,0.43,0.21,0.41,1.05,7.82,7.4,0.91,0,0.4,0.49,360,68,110,10,27,230,1.5,1.8,3,n.d.
"Escalope (average of beef, veal, pork, poultry), raw",Meat and offal/Veal;Meat and offal/Beef;Meat and offal/Pork;Meat and offal/Poultry,per 100g edible portion,113,2.7,0.9,1.2,0.4,57,0.1,0,0,0,22.2,0.1,0,75.1,4,4,4,3,3,0.45,0.17,0.45,0.99,6.97,7.1,0.8,0,0.3,0.42,340,58,80,7.5,22,190,1.1,1.3,2.3,n.d.
"Espresso with coffee cream, no sugar added",Non-alcoholic beverages/Coffee,per 100g edible portion,28,2.5,1.5,0.6,0.1,8,0.8,0.7,0,0.1,0.5,0,0,96.1,25,24,23,13,13,0,0.02,0,0.08,0.13,0.5,0.07,0.2,0.1,0.06,45,14,13,23,4.1,17,0,1.9,0,n.d.
"Eurasian perch, raw",Fish/Fresh water fish,per 100g edible portion,79,0.7,0.1,0.1,0.3,70,0,0,0,0,18,0.2,0,80.4,7,7,7,0,0,0.07,0.1,0.12,1,2.9,5,0.19,2,4,0.2,370,92,60,18,26,220,0.2,5,0.6,29
Ewe's milk,Milk and dairy products/Milk,per 100ml food volume,105,7.1,4.1,1.7,0.5,27,4.7,4.7,0,0,5.5,0.1,0,81.8,109,108,108,5,5,0.08,0.4,0.03,0.44,0.45,10,0.36,4.2,0.1,0.25,120,46,n.d.,180,18,140,0,10,0.5,n.d.
Falafel (deep fried in HOLL rapeseed oil),Prepared dishes/Oriental dishes,per 100g edible portion,222,7.9,0.7,5,1.8,0,26.2,1.9,23.9,6.4,8.3,0.7,0,51.2,21,11,0,127,127,0.11,0.04,0.1,0,0.37,39.6,0.21,4.6,0,2.22,290,300,480,42,40,130,1.6,0.9,0.8,n.d.
Farmers' bread,"Bread, flakes and breakfast cereals/Bread and bread products",per 100g edible portion,241,2,0.7,0.4,0.6,4,44.3,2.4,41.7,4.4,9.2,1.8,0,40.8,11,10,10,5,5,0.2,0.13,0.11,0.03,1.09,25,0.4,0.2,0,0.33,200,710,1090,46,38,170,1.5,1.3,1.4,3.4
"Fennel, raw",Vegetables/Fresh vegetables,per 100g edible portion,23,0.3,tr.,tr.,tr.,0,2.3,0.1,2.2,3.3,1.1,0,0,92.2,23,12,0,140,140,0.04,0.02,0.04,0,0.7,55,0.15,5.9,0,<0.08,470,15,27,37,12,38,0.5,5,0.3,n.d.
"Fennel, steamed (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,22,0.3,0,0,0,0,2.2,0.1,2.1,3.1,1,0,0,93.4,21,11,0,126,126,0.03,0.02,0.03,0,0.56,33,0.12,4.4,0,0.08,400,13,26,35,11,36,0.4,4.8,0.3,n.d.
Fermented dough,"Cereal products, pulses and potatoes/Dough",per 100g edible portion,199,0.9,0.1,0.1,0.4,0,38.3,0.3,37.7,3,7.8,1.2,0,50.6,0,0,0,0,0,0.17,0.06,0.17,0,0.71,25.7,0.41,0,0,0.23,120,490,750,13,32,110,1.5,0.9,1.1,3.5
"Feta, cow milk",Milk and dairy products/Fresh cheese and curds;Milk and dairy products/Soft cheese,per 100g edible portion,256,20.7,12.4,4.9,0.9,62,1.4,1.4,0,0,16,3.7,0,55.3,203,196,189,84,84,0.04,0.33,0.19,0.88,0.2,49,0.46,tr.,0.3,0.5,150,1500,tr.,480,20,340,0.2,tr.,tr.,n.d.
"Feta, ewe-/goat milk",Milk and dairy products/Fresh cheese and curds;Milk and dairy products/Soft cheese,per 100g edible portion,242,18.8,12.1,4.8,0.9,45,1.5,0,0,0,16.7,3.3,0,58.6,226,223,220,33,33,0.04,0.55,0.1,0.6,0.2,30,0.24,tr.,0.1,0.49,150,1300,1900,450,20,360,0.2,tr.,2,n.d.
"Fig, dried",Fruit/Dried fruit,per 100g edible portion,267,1.2,0.1,0.2,0.7,0,55.9,55.9,0,10,3.1,0.3,0,27.5,7,4,0,43,43,0.08,0.08,0.12,0,0.65,12.7,0.35,0.5,0,0.32,780,110,43,190,67,75,1.4,4,0.5,5.6
"Fig, fresh",Fruit/Fresh fruit,per 100g edible portion,71,0.5,0.1,0.1,0.2,0,13.5,12.2,tr.,4.1,1.2,0,0,80.2,17,9,0,102,87,0.04,0.03,0.06,0,0.35,24.5,0.2,3.4,0,<0.08,230,5,18,57,22,21,0.3,1.5,0.2,1.6
"Fish (average), filet, steamed (without addition of fat and salt)",Fish,per 100g edible portion,146,7.5,1.5,2.4,1.9,59,0,0,0,0,19.6,0.2,0,72.8,161,161,161,0,0,0.17,0.11,0.46,5.31,6.09,11.6,1,0.3,6.5,1.17,360,66,n.d.,29,32,240,0.8,50,0.7,n.d.
"Fish (average), raw ",Fish/Fresh water fish;Fish/Sea fish,per 100g edible portion,146,6.9,1.4,2.2,1.7,47,0,0,0,0,20.9,0.2,0,72.1,155,155,155,0,0,0.18,0.13,0.52,5.31,6.96,13.3,1.15,0.3,6.3,1.04,390,62,n.d.,23,30,230,0.8,45,0.6,n.d.
"Fish fingers (sticks), breaded and pre deep fried",Fish/Sea fish,per 100g edible portion,230,11.7,0.9,6.8,3.4,47,15.3,0.1,15.1,0.8,15.5,0.6,0,56.9,2,2,2,1,1,0.07,0.04,0.13,0.88,1.43,8.6,0.29,0,0.9,1.16,300,250,610,10,19,150,0.5,89,0.5,n.d.
"Fish fingers/sticks (breaded and pre deep fried), fried in HOLL rapeseed oil",Fish/Sea fish,per 100g edible portion,300,18.6,1.4,12,4.3,51,16.6,0.1,16.4,0.9,16,0.6,0,48.1,2,2,2,1,1,0.06,0.04,0.11,0.86,1.4,7.4,0.25,0,0.8,1.53,280,230,670,11,19,140,0.4,97,0.5,n.d.
"Fish fingers/sticks (breaded and pre deep fried), oven baked (without addition of fat)",Fish/Sea fish,per 100g edible portion,248,12.2,0.9,7.1,3.5,53,17.4,0.1,17.2,1,16.8,0.6,0,52.9,2,2,2,1,1,0.06,0.04,0.13,0.9,1.35,7.8,0.26,0,0.8,1.23,290,240,700,12,20,150,0.4,100,0.6,n.d.
"Fish product, anchovy in oil, drained",Fish/Sea fish,per 100g edible portion,182,8.5,2.9,3.4,1.3,76,0.2,0.1,tr.,0,26.4,12,0,55.1,12,12,12,0,0,0.04,0.25,0.37,20.9,3.9,16,0.63,0.5,1.7,1.16,250,4970,tr.,290,230,280,2.7,30,1.7,n.d.
"Fish product, sardine in oil, drained",Fish/Sea fish,per 100g edible portion,215,13.7,2.8,4.7,4.9,72,0,0,0,0,23,1.2,0,59.8,33,33,33,0,0,0.02,0.25,0.21,12,6.5,12,0.6,tr.,6,0.4,380,480,tr.,400,37,470,2.5,26,2.3,n.d.
"Fish, hake, raw",Fish/Sea fish,per 100g edible portion,71,0.3,0.1,0.1,0.1,50,0,0,0,0,17,0.2,0,81.5,0,0,tr.,0,0,0.05,0.08,0.18,2.1,2.2,12,0.19,1.5,tr.,0.19,320,77,240,25,25,190,0.7,120,0.4,n.d.
"Fish, plaice, raw",Fish/Sea fish,per 100g edible portion,86,1.9,0.3,0.5,0.5,63,0,0,0,0,17.1,0.3,0,79.7,16,16,16,0,0,0.21,0.22,0.22,1.5,4,11,0.8,1.5,3,0.8,310,100,130,61,22,200,0.9,53,0.5,n.d.
"Fish, pollock, raw",Fish/Sea fish,per 100g edible portion,80,0.3,0.1,0.1,0.1,71,0,0,0,0,19.3,0.1,0,79.2,4,4,4,0,0,0.05,0.05,0.18,1.3,2,10,0.38,0,0.8,0.36,440,40,200,8,14,170,0.2,85,0.3,n.d.
"Fish, sardine, raw",Fish/Sea fish,per 100g edible portion,163,9,2.6,2.4,2.6,100,0,0,0,0,20.4,0.3,0,69,28,28,28,0,tr.,0.01,0.25,0.68,6,8.2,4,0.8,0,11,0.29,360,110,180,85,28,270,1.4,32,2.9,n.d.
"Fish, sole, raw",Fish/Sea fish,per 100g edible portion,85,1.1,0.2,0.2,0.4,50,0,0,0,0,18.7,0.3,0,78.5,0,0,tr.,0,0,0.07,0.05,0.31,0.8,3.5,10,0.3,2,8,0.8,350,120,140,29,25,270,0.6,25,0.1,n.d.
"Fish, tuna, raw",Fish/Sea fish,per 100g edible portion,149,6.2,1.8,1.6,2.2,38,0,0,0,0,23.4,0.1,0,69,372,372,372,0,0,0.22,0.12,0.6,6.8,9,15,0.9,0,4.2,1,330,39,140,28,34,200,1.1,50,0.8,n.d.
Fishburger,Prepared dishes/Fast Food,per 100g edible portion,262,11.5,4.9,2.9,3,26,26.7,3.9,21.8,1.5,12.2,1.1,0,46.1,10,9,8,10,10,0.05,<0.01,0.07,0.83,0.63,23.3,0.33,<0.5,0.8,2.83,210,440,650,55,22,140,0.5,12,0.6,<20
"Flat white (little milk), no sugar added",Milk and dairy products/Milk and yoghurt beverages;Non-alcoholic beverages/Coffee,per 100ml food volume,16,0.9,0.5,0.2,0,3,1.2,1,0,0.1,0.7,0,0,97.1,10,10,9,4,4,0,0.05,0.01,0.03,0.13,0.9,0.08,0.2,0,0.03,54,9.2,21,32,4.8,21,0,2.1,0.1,n.d.
"Flat white (much milk), no sugar added",Milk and dairy products/Milk and yoghurt beverages;Non-alcoholic beverages/Coffee,per 100ml food volume,22,1.2,0.8,0.3,0.1,5,1.6,1.4,0,0.1,1,0,0,96.1,14,14,13,6,6,0.01,0.07,0.01,0.05,0.13,1.3,0.11,0.3,0,0.04,65,13,30,42,5.4,29,0,3,0.1,n.d.
"Flat white, no sugar added",Milk and dairy products/Milk and yoghurt beverages;Non-alcoholic beverages/Coffee,per 100ml food volume,19,1.1,0.7,0.3,0.1,4,1.4,1.3,0,0.1,0.9,0,0,96.5,13,12,12,5,5,0.01,0.06,0.01,0.04,0.13,1.2,0.1,0.3,0,0.04,61,11,26,38,5.1,26,0,2.6,0.1,n.d.
"Flaxseed oil, cold pressed",Fats and oils/Oils,per 100ml food volume,810,90,8.6,17.1,60.3,0,0,0,0,0,0,0,0,0,38,19,0,226,189,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.9,0,0.9,0,0,0.1,0
"Flounder, filet, steamed (without addition of fat and Salt)",Fish/Sea fish,per 100g edible portion,69,0.8,0.2,0.2,0.2,60,0,0,0,0,15.5,0.4,0,83.7,10,10,10,0,0,0.21,0.18,0.22,1,2.98,9.6,0.6,0.8,0.2,0.45,270,160,140,60,23,200,0.3,7.1,0.6,n.d.
"Flounder, raw",Fish/Sea fish,per 100g edible portion,72,0.7,0.1,0.1,0.2,48,0,0,0,0,16.5,0.4,0,81.4,9,9,9,0,0,0.22,0.21,0.25,1,3.4,11,0.68,0.8,0.2,0.36,290,150,130,48,22,190,0.3,6.3,0.5,n.d.
Flour (average),"Cereal products, pulses and potatoes/Flour and starch",per 100g edible portion,343,1.4,0.3,0.2,0.8,0,67.8,0.4,66.8,4.7,12.4,0,0,14.8,0,0,0,0,0,0.25,0.05,0.19,0,0.6,19.8,0.56,0,0,0.52,200,3.6,44,14,45,150,1.9,1.1,1.4,3.9
"Flour omelette filled with mushrooms, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,125,6.2,3.1,1.6,0.6,63,10.8,1.2,9.2,1.5,5.7,0.6,0,76.5,59,56,53,36,36,0.08,0.22,0.07,0.21,1.85,17.1,1.29,1.8,1.4,0.32,270,230,380,34,12,110,0.9,17,0.6,n.d.
"Flour omelette filled with vegetables, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,137,5.1,1.8,1.9,0.7,79,16.3,2.6,13.5,1.4,5.8,0.6,0,71.6,133,84,34,593,593,0.07,0.11,0.1,0.29,0.28,25.5,0.59,19.8,0.6,0.84,160,230,360,42,11,78,0.6,12,0.5,n.d.
"Flour omelette with bacon, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,188,8.9,3.5,3.4,1,102,17.3,1.3,15.8,0.8,9.3,1.1,0,64,51,46,41,60,60,0.13,0.14,0.06,0.39,0.68,16,0.71,5.1,0.8,0.52,150,440,700,46,11,110,0.7,12,0.8,n.d.
"Flour omelette with cheese, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,194,8.9,4.4,2.4,0.9,111,18.2,1.3,16.8,0.8,10,0.9,0,62.3,81,80,78,20,20,0.06,0.17,0.05,0.54,0.13,16.3,0.72,0.2,0.8,0.52,130,360,550,150,13,160,0.7,14,1,n.d.
"Flour omelette with ham, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,155,5.1,2.1,1.6,0.7,101,17.3,1.3,15.8,0.8,9.7,1,0,67.4,51,46,41,60,60,0.16,0.15,0.08,0.36,1,15.8,0.72,10.6,0.7,0.5,180,410,620,47,13,130,0.7,13,0.8,n.d.
"Flour omelette with Nutella, prepared",Prepared dishes/Other sweet dishes,per 100g edible portion,259,12.3,4.9,5,1.5,84,29.1,14.4,14.4,1.4,7.2,0.6,0,50.3,38,37,37,6,6,0.08,0.15,0.05,0.35,0.19,16.1,0.7,0.3,0.6,1.33,180,260,400,70,20,110,0.8,12,0.7,n.d.
"Flour omelette with sugar and cinnamon, prepared",Prepared dishes/Other sweet dishes,per 100g edible portion,177,5.3,2.2,1.6,0.7,106,24.5,6.5,17.9,0.8,7.2,0.8,0,62.3,47,46,46,6,6,0.07,0.13,0.04,0.39,0.12,16.1,0.71,0.3,0.8,0.5,130,310,470,48,9.8,94,0.7,14,0.6,7.3
"Flour omelette, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,165,5.6,2.3,1.7,0.8,112,20.4,1.4,18.8,0.9,7.6,0.8,0,65.7,49,49,48,7,7,0.07,0.14,0.04,0.41,0.12,16.9,0.74,0.3,0.8,0.53,130,330,500,50,10,99,0.7,14,0.6,7.7
"Flour, white and semi-white (average)","Cereal products, pulses and potatoes/Flour and starch",per 100g edible portion,344,1.3,0.3,0.2,0.7,0,68.9,0.4,67.9,3.8,12.2,0,0,14.9,0,0,0,0,0,0.21,0.04,0.16,0,0.51,16,0.48,0,0,0.49,180,2.1,45,11,33,120,1.5,0.9,1.1,3.5
"Fondue moitié-moitié, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,291,20.8,12.5,4.9,1,62,1,0,0.9,0,16.7,1,4.7,56.5,278,271,263,91,91,0.01,0.23,0.07,0.95,0.14,7.5,0.25,0.1,0.4,0.39,92,400,550,520,23,360,0.4,16,2.4,n.d.
"Fondue without alcohol, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,283,21.5,13.4,5.2,1,55,1.6,1,0.6,0,18.7,0.3,1.2,56.6,203,194,185,111,111,0,0.19,0.07,0.99,0.12,3.1,0.18,0,0.3,0.23,100,110,180,680,22,410,0.5,17,3.2,n.d.
"Fondue, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,315,22.4,13.9,5.4,1,58,1,0.1,0.9,0,19.6,0.3,4.4,52.2,210,201,192,107,107,0.01,0.2,0.07,1.06,0.15,3.8,0.17,0.5,0.3,0.24,88,120,190,710,24,430,0.4,17,3.3,n.d.
"French fries (baked in the oven), unsalted","Cereal products, pulses and potatoes/Potatoes",per 100g edible portion,232,9.1,0.7,6.6,1.2,0,33,1.6,31.3,2.5,3.3,0,0,52.1,2,1,0,9,9,0.28,0.03,0.69,0,0.82,41.6,0.58,22.2,0,2.47,590,16,110,9.5,27,61,0.6,5.2,0.4,n.d.
"French fries (deep fried in HO sunflower oil), unsalted","Cereal products, pulses and potatoes/Potatoes",per 100g edible portion,286,15.4,1.6,12.6,0.7,0,32.4,1.6,30.8,2.5,3.2,0,0,46.5,2,1,0,8,8,0.25,0.03,0.7,0,0.81,39.8,0.57,21.4,0,1.3,580,15,100,9.4,26,60,0.6,5.1,0.4,n.d.
"French fries for oven, deep-frozen","Cereal products, pulses and potatoes/Potatoes",per 100g edible portion,127,5,0.4,3.6,0.7,0,18.1,0.9,17.2,1.4,1.8,0,0,73.7,1,1,0,5,5,0.17,0.02,0.42,0,0.48,28.6,0.35,12.9,0,1.36,320,8.6,59,5.2,15,34,0.3,2.9,0.2,n.d.
"French omelette with bacon, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,175,13.4,4.8,5.1,1.6,268,1.3,1.3,0,0.1,12.5,0.7,0,72.8,108,100,93,87,87,0.14,0.25,0.09,0.98,0.62,37.3,1.57,5.5,2,0.96,180,280,430,64,14,180,1.4,30,1.3,19
"French omelette with cheese, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,192,14.5,6.4,4.4,1.5,275,1.2,1.2,0,0.1,14,1,0,70.1,157,148,140,106,106,0.07,0.29,0.09,1.17,0.11,38.4,1.56,2,2,0.97,160,380,540,210,17,260,1.4,32,1.7,n.d.
"French omelette with ham, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,143,9.6,3.3,3.3,1.3,266,1.3,1.3,0,0.1,12.8,1,0,76.2,107,100,92,87,87,0.16,0.26,0.11,0.94,0.94,37,1.57,10.8,1.9,0.94,210,420,600,65,15,210,1.5,31,1.3,18
"French omelette, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,151,11.1,3.8,3.8,1.5,310,1.4,1.4,0,0,11.4,0.8,0,76.1,111,111,110,9,9,0.08,0.26,0.07,1.11,0.07,41.5,1.76,0.2,2.3,1.05,170,340,470,70,13,190,1.5,36,1.1,20
"French pizza from Alsace, baked","Prepared dishes/Cakes, pies and gratins",per 100g edible portion,254,13.9,6.8,4.8,1,33,22.7,1.8,20.3,1.4,8.9,1,0,53.3,55,53,51,24,24,0.13,0.09,0.07,0.16,0.91,12.8,0.28,5.1,0.2,0.8,150,410,710,85,13,100,0.4,4.5,0.8,n.d.
French toast unsweetened,Prepared dishes/Other sweet dishes,per 100g edible portion,222,9.9,5.1,2.6,0.9,104,24.5,1.7,22.5,1.2,8,0.9,0,56.7,81,79,78,17,17,0.06,0.14,0.05,0.3,0.24,19.5,0.66,0.2,0.7,0.59,140,370,620,56,13,100,0.7,12,0.6,6.4
"Fruit (average), dried",Fruit/Dried fruit,per 100g edible portion,278,1.1,0.3,0.3,0.3,0,60.5,51.8,2.4,8.2,2.5,0.1,0,27.7,107,53,0,639,639,0.06,0.07,0.22,0,1.2,30.4,0.4,5.1,0,1.41,810,23,53,70,53,75,1.4,3.9,0.4,n.d.
"Fruit cocktail, in syrup, canned, drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,77,0.2,0,0,0.1,0,17.3,16.2,0,1.8,0.6,0,0,80.1,10,5,0,61,61,0.01,0.02,0.02,0,0.32,4.5,0.11,4.1,0,0.56,100,1,26,8.2,7.4,15,0.1,1.8,0.1,1
"Fruit cocktail, with sweetener, canned, drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,47,0.2,0,0,0.1,0,9.5,8.4,0,2,0.7,0,0,87.6,11,5,0,66,66,0.02,0.02,0.02,0,0.35,4.8,0.12,4.4,0,0.61,110,1,28,8.7,8,16,0.2,2,0.1,1.1
"Fruit juice (average), no sugar added",Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,per 100ml food volume,52,0.1,0,0,0,0,12.3,11.6,0,0.2,0.4,0,0,87.1,2,1,0,14,14,0.03,0.02,0.05,0,0.2,12.6,0.09,12.1,0,0.26,120,6,18,7.7,7.4,12,0.3,0.7,0.1,1.2
"Fruit juice diluted (average, 60% juice - 40% water), no sugar added",Non-alcoholic beverages/Fruit and vegetable juices,per 100ml food volume,31,0.1,0,0,0,0,7.4,6.9,0,0.1,0.2,0,0,92.3,1,1,0,8,8,0.02,0.01,0.03,0,0.12,7.5,0.06,7.3,0,0.16,74,4,11,7.4,4.8,7,0.2,0.4,0,n.d.
Fruit pie (average),"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,166,8.4,3.9,3,1,19,18.3,8,9.6,2.6,3,0.2,0,67.8,44,32,21,137,137,0.04,0.05,0.04,0.07,0.25,7.3,0.32,7.3,0.1,0.99,170,80,140,32,13,46,0.4,3,0.3,n.d.
Fruit pie with cake dough (average),"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,143,6.7,3,2.5,0.8,18,16.6,6.9,9,2.2,3,0.2,0,71.7,39,23,8,182,182,0.04,0.05,0.05,0.08,0.23,6,0.29,4.9,0.1,0.86,160,89,160,33,13,48,0.4,3.5,0.3,n.d.
